CompanyName                                     |BSE Code  |
Amrit Banaspati Company Ltd                     |531728    |
Amrutanjan Health Care Ltd.                     |590006    |
Amtek Auto Limited.                             |520077    |
Amtek India Ltd.                                |532282    |
Anant Raj Industries Limited                    |515055    |
Ancent Software International Ltd(NDA)          |530375    |
Andhra Bank                                     |532418    |
Andhra Cements Ltd.                             |532141    |
Andrew Yule & Co. Ltd.                          |526173    |
Anik Industries Ltd(NDA)                        |519383    |
Anil Products Ltd.                              |532910    |
Anjani Fabrics Ltd                              |521131    |
Anjani Finance Ltd(NDA)                         |531878    |
Anjani Portland Cements Ltd                     |518091    |
Anjani Synthetics Ltd(NDA)                      |531223    |
Ankit Metal & Power Limited                     |532870    |
Ankur Drugs and Pharma Ltd.                     |531683    |
Ansal Buildwell Ltd.                            |523007    |
Apar Industries Ltd.                            |532259    |
Apcotex Industries Limited                      |523694    |
Aplab Ltd(NDA)                                  |517096    |
Aptech Ltd.                                     |532475    |
Aravali Securities & Finance Ltd(NDA)           |512344    |
Archidply Industries Limited.                   |532994    |
Archies Limited                                 |532212    |
Arcotech Limited                                |532914    |
Areva T&D India Limited                         |522275    |
Aries Agro Ltd                                  |532935    |
Arihant Capital Markets Ltd(NDA)                |511605    |
Arihant Foundations & Housing Ltd.              |531381    |
Arman Financial Services Ltd.                   |531179    |
Aro Granite Industries Ltd(NDA)                 |513729    |
Arrow Coated Products Ltd(NDA)                  |516064    |
Artefact Projects Ltd(NDA)                      |531297    |
Artson Engineering Ltd                          |522134    |
Arvind Chemicals Ltd(NDA)                       |531881    |
Arvind Products Ltd                             |532489    |
Arvind Remedies Ltd(NDA)                        |531823    |
Asahi India Glass Limited                       |515030    |
Asahi Songwon Colors Limited                    |532853    |
Ashapura Minechem Ltd.                          |527001    |
Ashco Industries Ltd                            |517565    |
Ashiana Housing Ltd.                            |523716    |
Ashiana Ispat Ltd(NDA)                          |513401    |
Ashima Ltd                                      |514286    |
Ashirwad Steels & Industries Ltd(NDA)           |526847    |
Asian CERC Information Technology Ltd.          |530619    |
Asian Granito India Ltd                         |532888    |
Asian Oilfield Services Ltd                     |530355    |
Asian Star Company Ltd.                         |531847    |
Asian Tea and Exports Ltd(NDA)                  |519532    |
Asit C Mehta Financial Services Ltd(NDA)        |530723    |
Astra Microwave Products Limited                |532493    |
Astral Poly Technik Limited                     |532830    |
Atlanta Limited                                 |532759    |
Atlas Copco (India) Limited                     |526991    |
Atul Auto Ltd(NDA)                              |531795    |
Aunde Faze Three Autofab Ltd(NDA)               |532459    |
Aurobindo Pharma Limited                        |524804    |
Austin Engineering Company Ltd(NDA)             |522005    |
Austral Coke and Projects Limited               |533016    |
Autoline Industries Limited                     |532797    |
Automotive Stampings and Assemblies Ltd         |520119    |
Avantel Softech Ltd.                            |532406    |
Avanti Feeds Ltd(NDA)                           |512573    |
Avon Weighing Systems Limited                   |532995    |
Axis Bank Ltd.                                  |532215    |
B N RATHI SE                                    |523019    |
B NANJI ENTR                                    |526594    |
B.A.G Films & Media Ltd.                        |532507    |
B.L. Kashyap and Sons Limited                   |532719    |
B2B SOFTWARE                                    |531268    |
BACIL PHARMA                                    |524516    |
BAFIN ENG PR                                    |532161    |
BAFNA SPINNI                                    |531733    |
BAGADIA COLO                                    |530197    |
BAID LEASING & FIN INR10                        |511724    |
BALA TECH IND                                   |514199    |
BALURGHA TEC                                    |520127    |
BAMBI AGRO I(BSE INDONEXT)                      |519295    |
BAMPSL SECUR                                    |531591    |
BANK BEES                                       |590106    |
BANK OF INDI                                    |632149    |
BCC FINANCE                                     |531178    |
BCC Fuba India Ltd(NDA)                         |517246    |
BDH Industries Ltd(NDA)                         |524828    |
BECKONS INDS                                    |531937    |
BEMCO HYDRAU                                    |522650    |
BENCHMARK ASSET MG BENCHMARK ASSET ORD INR1000  |590096    |
BENCHMARK ASSET MG GOLD EXCH TRAD-GOLD BEES     |590095    |
BERVIN INVES                                    |531340    |
BERYL DRUGS                                     |524606    |
BETALA GLO S                                    |531530    |
BF Utilities Limited                            |532430    |
BGIL FL TEC                                     |511664    |
BGR Energy Systems Limited                      |532930    |
BHAGWANDAS METALS INR10                         |530095    |
BHAGYA WO PL                                    |514442    |
BHAGYASHREE                                     |511698    |
BHAND HOS EX                                    |512608    |
BHARAT BHUSH                                    |511501    |
BHILWARA SPI                                    |514272    |
BHILWARA TEX                                    |530879    |
BHILWRA TEC                                     |533108    |
BHOLANATH IN                                    |530841    |
BINNY LTD.                                      |514215    |
BIO GREEN I                                     |512253    |
BIO WHGO IND                                    |531250    |
BIOFIL CH PH                                    |524396    |
BIR SHL EDU                                     |511607    |
BKV INDUSTRS                                    |519500    |
BLA ROS IND                                     |514183    |
BLB Ltd(NDA)                                    |532290    |
BLOOM DEKOR(BSE INDONEXT)                       |526225    |
BLS Infotech Limited(NDA)                       |531175    |
BLUE CHI IND                                    |531936    |
BMB MUSIC MG                                    |531420    |
BNR Udyog Ltd(NDA)                              |530809    |
BOC India Limited                               |523457    |
BRAHMA INF                                      |531194    |
BRAND REAL                                      |531203    |
BRAWN PHARMA                                    |530207    |
BRIJLAX LEAS (BSE INDONEXT)                     |532113    |
BRILLIANT SE                                    |531723    |
BSEL Infrastructure Realty Limited              |532123    |
BSL Ltd                                         |514045    |
BURNPUR CEMENT LTD.                             |532931    |
Baba Arts Ltd                                   |532380    |
Bafna Pharmaceuticals Limited                   |532989    |
Bajaj Auto Limited.                             |532977    |
Bajaj Finserv Limited                           |532978    |
Bal Pharma Ltd                                  |524824    |
Balaji Amines Limited                           |530999    |
Balaji Telefilms Limited                        |532382    |
Balasore Alloys Limited                         |513142    |
Balmer Lawrie & Company Limited                 |523319    |
Balmer Lawrie Investments Ltd.                  |532485    |
Bang Overseas Limited                           |532946    |
Bank of Baroda                                  |532134    |
Bank of India                                   |532149    |
Bank of Maharashtra                             |532525    |
Bannari Amman Spinning Mills Ltd.               |532674    |
Barak Valley Cements Limited                    |532916    |
Bartronics India Limited                        |532694    |
Basant Agro Tech India Ltd(NDA)                 |524687    |
Batliboi Ltd.                                   |522004    |
Beeyu Overseas Ltd(NDA)                         |532645    |
Bell Ceramics Ltd                               |515035    |
Bengal & Assam Company Limited                  |533095    |
Bengal Tea & Fabrics Ltd                        |532230    |
Bhageria Dye Chem Ltd                           |530803    |
Bhagiradha Chemicals & Industries L(NDA)        |531719    |
Bhagwati Banquets And Hotels Ltd.               |532845    |
Bhagyanagar India Ltd.                          |512296    |
Bharat Fertiliser Inds. Ltd.(NDA)               |531862    |
Bharat Immunologicals and Biologica(NDA)        |524663    |
Bharat Rasayan Ltd(NDA)                         |590021    |
Bharat Seats Ltd(NDA)                           |523229    |
Bharati Shipyard Limited                        |532609    |
Bharti Airtel Limited                           |532454    |
Bhartiya International Ltd(NDA)                 |526666    |
Bhatinda Chemicals Ltd.                         |524332    |
Bheema Cements Ltd                              |518017    |
Bhuwalka Steel Industries Ltd                   |513333    |
Bihar Tubes Ltd(NDA)                            |590059    |
Bilcare Limited                                 |526853    |
Bilpower Ltd                                    |531590    |
Binani Cement Limited                           |532849    |
Biocon Limited                                  |532523    |
Biopac India Corporation Ltd(NDA)               |532330    |
Birla Capital & Financial Services Ltd          |512332    |
Birla Cotsyn (India) Limited                    |533006    |
Birla Power Solutions Limited                   |517001    |
Birla Precision Technologies Ltd                |522105    |
Bits Ltd                                        |526709    |
Blue Bird (India) Limited                       |532781    |
Blue Coast Hotels & Resorts Ltd                 |531495    |
Blue Dart Express Limited                       |526612    |
Blue Star Infotech Ltd.                         |532346    |
Bodal Chemicals Ltd.                            |524370    |
Bombay Rayon Fashions Limited                   |532678    |
Bombay Swadeshi Stores Ltd(NDA)                 |531276    |
Brahmanand Himghar Limited                      |590081    |
Brakes Auto India Ltd(NDA)                      |520115    |
Brandhouse Retails Limited                      |533059    |
Brescon Corporate Advisors Ltd                  |511628    |
Bridge Securities Ltd(NDA)                      |530249    |
Brigade Enterprises Limited                     |532929    |
Bright Brothers Limited                         |526731    |
Broadcast Initiatives Limited                   |532816    |
Brushman (India) Ltd(NDA)                       |590061    |
C & C CONSTRUCTION INR10                        |532813    |
C G Impex Ltd(NDA)                              |531932    |
CALCO VISION                                    |517236    |
CAMEX LTD                                       |524440    |
CAPITA TRUST                                    |511505    |
CAPMAN FINAN                                    |511720    |
CAT TECHNOL                                     |531682    |
CAT VISION P                                    |531158    |
CCAP LTD(BSE INDONEXT)                          |526839    |
CCL Products (India) Limited                    |519600    |
CCS INFOTECH                                    |532405    |
CEEJAY FINAN                                    |530789    |
CEENI EXPO I                                    |531119    |
CENLUB INDUS                                    |522251    |
CEREBRA INT                                     |532413    |
CG VAK SOF E                                    |531489    |
CHAN GUIDE I                                    |531337    |
CHAND PRAB I(BSE INDONEXT)                      |530309    |
CHANDRIK TRA                                    |512624    |
CHAR CAP INV                                    |511696    |
CHARMS INDS                                     |531327    |
CHARTERLOGIS                                    |531977    |
CHD Developers Ltd                              |526917    |
CHI Investments Ltd                             |532969    |
CHITRA.SPIN.                                    |521244    |
CHL Limited                                     |532992    |
CHOIC INTERN                                    |531358    |
CHOKHANI SEC                                    |511742    |
CHOKSI IMAG                                     |530427    |
CHOKSI LABOR                                    |526546    |
CHROMATI IND                                    |530191    |
CIL SECUR LT                                    |530829    |
CINDRE FIN S                                    |531283    |
CINDRELLA HOTELS L INR10                        |526373    |
CINERAD COMM                                    |530457    |
CITIPO FIN S                                    |531235    |
CLARUS                                          |511672    |
CLIO INFOTE                                     |530839    |
CMC Limited                                     |517326    |
CNI Research Ltd(NDA)                           |512018    |
COASTAL ROAD                                    |520131    |
COLINZ LABOR                                    |531210    |
COMP-U-LEARN TECH INR10                         |532363    |
COMPUTER SKI                                    |531474    |
CONSOL. SEC.                                    |530067    |
CONTIL I LTD                                    |531067    |
CONTINE CONT                                    |531460    |
CORAL NEWSPR                                    |530755    |
COUNTRY COND                                    |531624    |
CRANEX LTD                                      |522001    |
CRYSTAL SOFT                                    |526033    |
CSS Technergy Ltd (NDA)                         |590050    |
CUBI FIN SER                                    |511710    |
CUPID TRADE                                     |512361    |
CYBELE IND                                      |531472    |
CYBERMAT INF                                    |532271    |
CYBERSCAPE M                                    |532364    |
Cadila Healthcare Limited                       |532321    |
Cairn India Limited                             |532792    |
California Software Company Ltd.                |532386    |
Cals Refineries Ltd                             |526652    |
Cambridge Solutions Limited                     |532616    |
Cambridge Technology Enterprises Limited        |532801    |
Camlin Fine Chemicals Ltd                       |532834    |
Camlin Limited                                  |523207    |
Camson Bio Technologies Ltd                     |590076    |
Canara Bank                                     |532483    |
Caplin Point Laboratories Ltd(NDA)              |524742    |
Carborundum Universal Limited                   |513375    |
Carnation Industries Ltd(NDA)                   |530609    |
Celebrity Fashions Limited                      |532695    |
Celestial Labs Limited                          |532871    |
Central Bank Of India                           |532885    |
Centum Electronics Ltd.                         |517544    |
Century Plyboards India Ltd                     |532548    |
Cera Sanitaryware Ltd.                          |532443    |
Chakkilam Infotech Ltd.                         |590089    |
Chaman Lal Setia Exports Ltd(NDA)               |530307    |
Champagne Indage Ltd.                           |522059    |
Chembond Chemicals Ltd(NDA)                     |530871    |
Chemcel BioTech Limited                         |533026    |
Chennai Meenakshi Multispeciality H(NDA)        |523489    |
Cheslind Textiles Limited                       |521056    |
Cheviot Company Ltd.                            |526817    |
Chordia Food Products Ltd(NDA)                  |519475    |
Ciba India Limited                              |532184    |
Cinemax India Limited                           |532807    |
Cinevistaas Limited                             |532324    |
Circuit Systems (India) Limited                 |532913    |
City Union Bank Limited                         |532210    |
Classic Diamonds India Ltd.                     |523200    |
Cochin Minerals & Rutile Ltd(NDA)               |513353    |
Comfort Intech Ltd(NDA)                         |531216    |
Compact Disc (India) Ltd                        |526141    |
Competent Automobiles Co Ltd(NDA)               |531041    |
Compuage Infocom Ltd.                           |532456    |
Compucom Software Ltd(NDA)                      |532339    |
Compulink Systems Ltd(NDA)                      |532688    |
Computech International Ltd(NDA)                |531224    |
Conart Engineers Ltd(NDA)                       |522231    |
Confidence Petroleum India Ltd                  |526829    |
Consolidated Construction Consortium Ltd        |532902    |
Container Corporation of India Limited          |531344    |
Control Print India Ltd(NDA)                    |522295    |
Coral India Finance & Housing Ltd(NDA)          |531556    |
Coral Laboratories Ltd(NDA)                     |524506    |
Cords Cable Industries Ltd.                     |532941    |
Core Projects & Technologies Ltd.               |512199    |
Corporation Bank                                |532179    |
Cosco India Ltd(NDA)                            |530545    |
Cosmo Ferrites Limited                          |523100    |
Country Club India Ltd                          |526550    |
Coventry Coil-O-Matic Haryana Ltd.              |523415    |
Cranes Software International Limited           |512093    |
Crazy Infotech Ltd(NDA)                         |524388    |
Creative Eye Ltd(NDA)                           |532392    |
Cressanda Solutions Ltd(NDA)                    |512379    |
Crest Animation Studios Limited                 |526785    |
Crew B.O.S. Products Ltd.                       |532542    |
Cubex Tubings Ltd.                              |526027    |
Cupid Ltd(NDA)                                  |530843    |
Cyber Media India Ltd.                          |532640    |
Cybertech Systems and Software Ltd(NDA)         |532173    |
D&H Welding Electrodes India Ltd(NDA)           |517514    |
D-Link (India) Limited                          |532419    |
DAIKAF CHEMI                                    |530825    |
DAIRYFIELD                                      |531640    |
DAMODAR THRE(BSE INDONEXT)                      |521220    |
DATANET SYST                                    |532373    |
DAZZEL CONFI                                    |531270    |
DB(INTR) STBR                                   |530393    |
DCM Financial Services Limited                  |511611    |
DCM Shriram Consolidated Limited                |523367    |
DCM Shriram Industries Limited                  |523369    |
DECCAN POLYP                                    |531989    |
DEVINE IMPE                                     |531585    |
DEVKI LEASIN                                    |530765    |
DHANALAXMI ROTO SP INR10                        |521216    |
DHARANI FINA                                    |511451    |
DHOOT INDUS.                                    |526971    |
DHP INDIA                                       |531306    |
DHRUVA CAPIT                                    |531237    |
DIVYAJYO IND                                    |526285    |
DJS STOCK SH                                    |511636    |
DLF Limited                                     |532868    |
DMC International Ltd(NDA)                      |517973    |
DOLPH MED SE                                    |526504    |
DS Kulkarni Developers Ltd.                     |523890    |
DUJODWA PROD                                    |514418    |
DUKE OFSHORE                                    |531471    |
DWS FTS43 IG                                    |532964    |
DWS FTS43 RD                                    |532963    |
DYNACONS SYS                                    |532365    |
Dai Ichi Karkaria Ltd(NDA)                      |526821    |
Danlaw Technologies India Limited               |532329    |
Datamatics Technologies Ltd                     |532528    |
De Nora India Ltd(NDA)                          |590031    |
Deccan Chronicle Holdings Ltd.                  |532608    |
Deccan Gold Mines Ltd(NDA)                      |512068    |
Decolight Ceramics Limited                      |532858    |
Deep Industries Limited                         |532760    |
Deepak Spinners Ltd(NDA)                        |514030    |
Delta Corp Ltd                                  |532848    |
Dena Bank                                       |532121    |
Denso India Limited                             |520022    |
Development Credit Bank Limited                 |532772    |
Dhampure Specialty Sugars Ltd(NDA)              |531923    |
Dhanlaxmi Fabrics Ltd                           |521151    |
Dhanus Technologies Ltd.                        |532903    |
Dhunseri Tea & Industries Ltd.                  |523736    |
Diamond Power Infrastructure Ltd.               |522163    |
Diana Tea Company Ltd                           |530959    |
Dish TV India Limited                           |532839    |
Dishman Pharmaceuticals & Chemicals Ltd.        |532526    |
Divyashakti Graniter Ltd(NDA)                   |526315    |
Dollex Industries Ltd                           |531367    |
Dolphin Offshore Enterprises India Ltd.         |522261    |
Donear Industries Ltd.                          |512519    |
Dredging Corporation of India Ltd.              |523618    |
Dujodwala Paper Chemicals Ltd(NDA)              |524276    |
Duncans Industries Ltd                          |590063    |
Dutron Polymers Ltd(NDA)                        |517437    |
Dwarikesh Sugar Industries Ltd.                 |532610    |
Dynamic Industries Ltd(NDA)                     |524818    |
Dynemic Products Ltd.                           |532707    |
EAST C.STEEL                                    |520081    |
EASTERN TRED                                    |531346    |
ECE Industries Ltd                              |532491    |
ECOM INFOTEC                                    |531533    |
ECOPLAST LTD(BSE INDONEXT)                      |526703    |
EIH Associated Hotels Ltd.                      |523127    |
ELDER PROJEC                                    |524788    |
ELEG FLOR AG                                    |526473    |
ELTROL LTD                                      |530835    |
EMA INDIA INR10                                 |522027    |
EMMESSA BIOT                                    |524768    |
EMTEX INDUST                                    |521099    |
ENNORE COKE                                     |512369    |
ENSA STEEL I                                    |512135    |
ENTERPR.INTE                                    |526574    |
EPC Industries Ltd.                             |523754    |
EPIC ENZYMES (BSE INDONEXT)                     |524374    |
EPSOM PRO                                       |531155    |
ETC Network Ltd.                                |532958    |
EURO LEDER F                                    |526468    |
EURO MULTI                                      |533109    |
EVERLON SYNT                                    |514358    |
EXELON INFRA                                    |530337    |
EZ-COMM TRAD                                    |531621    |
Eastern Gases Ltd.                              |590080    |
Eastern Silk Industries Ltd.                    |590022    |
Easun Reyrolle Ltd.                             |532751    |
Ecoboard Industries Limited                     |523732    |
Edelweiss Capital Limited                       |532922    |
Edserv Softsystems Ltd                          |533055    |
Educomp Solutions Limited                       |532696    |
Eimco Elecon Ltd.                               |523708    |
El Forge Ltd(NDA)                               |531144    |
Elango Industries Limited(NDA)                  |513452    |
Eldeco Housing & Inds Ltd(NDA)                  |523329    |
Elder Health Care Ltd(NDA)                      |524830    |
Elder Pharmaceuticals Limited                   |532322    |
Electrotherm (India) Ltd                        |526608    |
Elegant Marbles & Granite Industrie(NDA)        |526705    |
Elgi Equipments Limited                         |522074    |
Elgitread India Limited                         |590023    |
Ellenbarrie Industrial Gases Limited            |590087    |
Elnet Technologies Ltd(NDA)                     |517477    |
Emami Limited                                   |531162    |
Emkay Share and Stock Brokers Limited           |532737    |
Emmsons International Ltd(NDA)                  |532038    |
Empee Distilleries Limited                      |532920    |
Encore Software Ltd(NDA)                        |531750    |
Energy Development Company Ltd.                 |532219    |
Engineers India Limited                         |532178    |
English Indian Clays Limited                    |526560    |
Enkei Castalloy Ltd.                            |531147    |
Enrich Industries Ltd(NDA)                      |531127    |
Enso Secutrack Limited(NDA)                     |532984    |
Entegra Ltd(NDA)                                |532287    |
Entertainment Network (India) Limited           |532700    |
Epic Energy Ltd(NDA)                            |530407    |
Era E-Zone (India) Ltd                          |531615    |
Era Infra Engineering Limited                   |530323    |
Escorts Finance Ltd                             |511716    |
Eskay K n IT (India) Ltd.                       |514118    |
Ess Dee Aluminium Limited                       |532787    |
Euro Ceramics Limited                           |532823    |
Eurotex Industries and Exports Ltd(NDA)         |521014    |
Eveready Industries India Limited               |531508    |
Everest Kanto Cylinder Ltd.                     |532684    |
Everonn Systems India Limited                   |532876    |
Evinix Accessories Limited                      |532818    |
Excel Crop Care Limited                         |532511    |
Excel Infoways Limited                          |533090    |
Explicit Finance Ltd(NDA)                       |530571    |
FAST TRAC EN                                    |532084    |
FCS Software Solutions Limited                  |532666    |
FDC Limited                                     |531599    |
FICON LEASE                                     |531902    |
FIEM Industries Limited                         |532768    |
FILMCIT MEDI                                    |531486    |
FINANC EYE I                                    |530863    |
FINAVENT                                        |512219    |
FIRSTOBJ                                        |532379    |
FLUIDOMAT LT                                    |522017    |
FOUNDRY FUEL                                    |513579    |
FRONT BUSS                                      |521167    |
FRONT INF TE                                    |531225    |
FRONTIER SPR                                    |522195    |
FRONTLINE CORPORAT INR10                        |532042    |
FUTURISTIC S                                    |523113    |
Facor Alloys Ltd(NDA)                           |532656    |
Facor Steels Limited                            |532657    |
Fact Enterprise Ltd(NDA)                        |511668    |
Fairdeal Filaments Ltd(NDA)                     |514474    |
Fairfield Atlas Ltd.                            |520145    |
Fame India Ltd.                                 |532631    |
Farmax India Limited                            |590094    |
